Station Name,Station ID,NWSLI,Station Lat,Station Lon,HAT,MHHW,MSL,MLLW,Obs?,Tide?,Tide Type,Ref,Stat,Maxval,Maxtime
Red-Dog-Dock-AK,9491094,RDDA2,67.575,-164.065,1.72,1.00,0.49,0.00,1,1,P,0,3,1.1,1
Ketchikan-AK,9450460,KECA2,55.33,-131.63,19.61,15.45,8.07,0.00,1,1,P,0,1,1.1,1
St.-Michael-Norton-Sound-AK,9468132,SMBA2,63.48,-162.04,5.71,3.89,1.83,0.00,1,1,P,0,2,1.1,1
Clarks-Point-Nushagak-Bay-AK,9465261,ZZZZZ,58.85,-158.55,24.64,20.67,10.97,0.00,0,1,P,0,1,1.1,1
Village-Cove-AK,9464212,VCVA2,57.13,-170.29,4.31,3.24,1.88,0.00,1,1,P,0,2,1.1,1
Seldovia-AK,9455500,OVIA2,59.44,-151.72,23.31,18.05,9.56,0.00,1,1,P,0,1,1.1,1
Cordova-AK,9454050,CRVA2,60.56,-145.75,16.17,12.59,6.74,0.00,1,1,P,0,1,1.1,1
Atka-AK,9461710,ATKA2,52.23,-174.17,5.19,3.42,1.97,0.00,1,1,P,0,2,1.1,1
Unalaska-AK,9462620,UNLA2,53.88,-166.54,5.13,3.60,2.08,0.00,1,1,P,0,2,1.1,1
Alitak-AK,9457804,ALIA2,56.9,-154.25,15.21,11.73,6.17,0.00,1,1,P,0,1,1.1,1
Port-Alexander-AK,9451054,PLXA2,56.41,-134.45,14.03,10.93,5.73,0.00,1,1,P,0,1,1.1,1
Yakutat-AK,9453220,YATA2,59.55,-139.74,13.10,10.08,5.30,0.00,1,1,P,0,1,1.1,1
King-Cove-AK,9459881,KGCA2,55.06,-162.33,9.05,6.82,3.68,0.00,1,1,P,0,1,1.1,1
Adak-Island-AK,9461380,ADKA2,51.86,-176.63,5.61,3.71,2.13,0.00,1,1,P,0,2,1.1,1
Nikiski-AK,9455760,NKTA2,60.68,-151.4,25.57,20.54,11.29,0.00,1,1,P,0,1,1.1,1
Cape-Romanzof-AK,ber0007,ZZZZZ,61.82,-166.08,8.01,6.52,3.26,0.03,0,1,S,9465261,2,1.1,1
Kwikluak-Pass-Yukon-River-AK,ber0006,ZZZZZ,62.62,-164.85,1.94,1.58,0.7,0,0,1,S,9465261,2,1.1,1
Kawanak-Pass-Ent-Yukon-R-AK,ber0005,ZZZZZ,63.05,-164.69,2.43,1.98,0.97,0.01,0,1,S,9465261,2,1.1,1
Apoon-Mouth-Yukon-River-AK,ber0004,ZZZZZ,63.06,-163.32,5.71,3.92,1.95,0.32,0,1,S,9468132,3,1.1,1
Carolyn-Is-Golovin-Bay-AK,ber0003,GLTA2,64.45,-162.87,2.63,1.8,0.9,0.14,1,1,S,9468132,2,1.1,1
Port-Clarence-AK,ber0002,TLTA2,65.25,-166.57,1.25,1.18,0.6,0.0,1,1,P,0,3,1.1,1
Point-Barrow-AK,ber0001,ZZZZZ,71.37,-156.37,1.30,0.66,0.31,0,0,1,P,0,3,1.1,1
Apokak-Creek-Ent-AK,9466079,ZZZZZ,60.14,-162.16,13.59,11.07,4.67,0.02,0,1,S,9465396,3,1.1,1
St-Lrnce-Niyrakpak-Lagn-Ent-AK,ber0008,ZZZZZ,63.62,-171.38,3.41,2.41,1.22,0.0,0,1,P,0,2,1.1,1
Elfin-Cove-AK,9452634,ELFA2,58.19,-136.34,14.21,11.00,5.73,0.00,1,1,P,0,1,1.1,1
Valdez-AK,9454240,VDZA2,61,-146.76,15.64,12.14,6.49,0.00,1,1,P,0,1,1.1,1
Skagway-AK,9452400,SKTA2,59.45,-135.33,21.03,16.73,8.83,0.00,1,1,P,0,1,1.1,1
Seward-AK,9455090,SWLA2,60.12,-149.43,13.95,10.63,5.56,0.00,1,1,P,0,1,1.1,1
Kodiak-Island-AK,9457292,KDAA2,57.73,-152.51,11.50,8.77,4.50,0.00,1,1,P,0,1,1.1,1
Naknek-River-Ent-#13-AK,ber0014,ZZZZZ,58.71,-157.23,23.44,20.04,9.14,0.0,0,1,P,0,1,1.1,1
Egegik-River-Ent-AK,ber0015,ZZZZZ,58.21,-157.62,17.99,15.23,7.39,0,0,1,P,0,1,1.1,1
Port-Heiden-AK,ber0016,ZZZZZ,56.93,-158.73,14.66,11.61,6.42,0.0,0,1,P,0,1,1.1,1
Popokamute-AK,ber0010,ZZZZZ,60.07,-162.25,14.54,11.02,5.05,0.0,0,1,P,0,2,1.1,1
Kuskokwak-Creek-Ent-AK,ber0011,ZZZZZ,60.03,-162.17,13.83,11.27,4.74,0.02,0,1,S,9465261,1,1.1,1
Eek-Channel-off-Quinhagak-AK,ber0012,ZZZZZ,59.75,-162.25,13.84,11.28,4.74,0.02,0,1,S,9465261,1,1.1,1
Goodnews-Bay-Ent-AK,ber0013,ZZZZZ,59.05,-161.82,9.22,7.52,3.5,0.02,0,1,S,9465261,1,1.1,1
Port-Moller-AK,9463502,PMOA2,55.96,-160.61,13.26,10.48,5.85,0.00,1,1,P,0,2,1.1,1
Sitka-AK,9451600,ITKA2,56.9,-135.7,12.79,9.94,5.29,0.00,1,1,P,0,1,1.1,1
Prudhoe-Bay-AK,9497645,PRDA2,70.4117,-148.5317,1.38,0.70,0.34,0.00,1,1,P,0,3,1.1,1
Nikolski-AK,9462450,OLSA2,52.95,-168.9,5.77,4.00,2.30,0.00,0,1,P,0,2,1.1,1
Anchorage-AK,9455920,ANTA2,61.24,-149.89,33.78,29.16,16.47,0.00,1,1,P,0,1,1.1,1
Juneau-AK,9452210,JNEA2,58.3,-134.41,20.59,16.30,8.58,0.00,1,1,P,0,1,1.1,1
Nome-Norton-Sound-AK,9468756,NMTA2,64.5,-165.43,2.16,1.53,0.82,0.00,1,1,P,0,2,1.1,1
Sand-Point-AK,9459450,SNDA2,55.34,-160.5,9.59,7.23,3.87,0.00,1,1,P,0,2,1.1,1
Shishmaref-Inlet-2-AK,9469854,SHTA2,66.26,-166.02,1.31,1.03,0.51,0.00,1,1,P,0,3,1.1,1
Shaktoolik-AK,9468691,SFTA2,64.38,-161.24,5.70,3.73,1.67,0.00,1,1,P,0,2,1.1,1
Unalakleet-AK,9468333,ULRA2,63.88,-160.79,5.19,3.45,1.55,0.00,1,1,P,0,2,1.1,1
Craig-AK,9450551,ZZZZZ,55.49,-133.14,12.61,10.17,5.34,0.00,0,1,P,0,1,1.1,1
Kaktovik-AK,9499176,ZZZZZ,70.13,-143.61,0.77,0.61,0.28,0.00,0,1,P,0,2,1.1,1
Point-Hope-AK,9491873,ZZZZZ,68.34,-166.81,1.57,0.67,0.33,0.00,0,1,P,0,3,1.1,1
Cape-Krusenstern-AK,9490571,ZZZZZ,67.05,-163.32,0.68,0.65,0.23,0.00,0,1,P,0,3,1.1,1
